# OS:        Windows 11 (22631) (x86_64)
# CPU:       Intel(R) Core(TM) i9-9900 CPU @ 3.10GHz (8 physical / 16 logical cores, 3096 MHz)
# RAM:       31.8 GiB
# toolchain: rustc 1.96.0 (ac68faa20 2026-05-25)
# fast-tiff-lib: 0.17.0 (path dependency)
# tiff (rust): 0.11 | TinyTIFF: vendored | libtiff: vendored
# libtiff:   LIBTIFF, Version 4.7.2 (vendored)
family,run,format,compression,predictor,strips,bigtiff,width,height,frames,reader,ok,reason,open_us,mean_us,min_us,total_read_ms,mb_s,rel,write_mb_s
"256x256 u16 none","256x256 u16 none / 10000 frames",u16,none,false,1,false,256,256,10000,raw,true,"",63.100,18.4212,8.9000,209.3619,6785.672,0.6675,3499.8
"256x256 u16 none","256x256 u16 none / 10000 frames",u16,none,false,1,false,256,256,10000,fast-tiff,true,"",2065.100,37.1116,35.0000,379.2382,3368.218,1.3447,3499.8
"256x256 u16 none","256x256 u16 none / 10000 frames",u16,none,false,1,false,256,256,10000,fast-tiff-preload,true,"",2162.900,116.0239,116.0239,1160.2388,1077.364,4.2040,3499.8
"256x256 u16 none","256x256 u16 none / 10000 frames",u16,none,false,1,false,256,256,10000,tiff-rs,true,"",170.900,86.7503,36.1000,904.7882,1440.917,3.1433,3499.8
"256x256 u16 none","256x256 u16 none / 10000 frames",u16,none,false,1,false,256,256,10000,tinytiff,true,"",144.500,27.5984,24.4000,301.6869,4529.248,1.0000,3499.8
"256x256 u16 none","256x256 u16 none / 10000 frames",u16,none,false,1,false,256,256,10000,libtiff,true,"",163.800,48.6470,43.7000,503.0402,2569.530,1.7627,3499.8
"256x256 u16 none rps32","256x256 u16 none rps32 / 1 frames",u16,none,false,8,false,256,256,1,raw,true,"",30.500,21.1000,21.1000,0.0211,5924.171,0.9679,185.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 1 frames",u16,none,false,8,false,256,256,1,fast-tiff,true,"",50.500,37.3000,37.3000,0.0373,3351.206,1.7110,185.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 1 frames",u16,none,false,8,false,256,256,1,fast-tiff-preload,true,"",46.400,140.8000,140.8000,0.1408,887.784,6.4587,185.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 1 frames",u16,none,false,8,false,256,256,1,tiff-rs,true,"",131.900,29.6000,29.6000,0.0296,4222.973,1.3578,185.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 1 frames",u16,none,false,8,false,256,256,1,tinytiff,true,"",86.400,21.8000,21.8000,0.0218,5733.945,1.0000,185.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 1 frames",u16,none,false,8,false,256,256,1,libtiff,true,"",68.700,30.6000,30.6000,0.0306,4084.967,1.4037,185.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 10 frames",u16,none,false,8,false,256,256,10,raw,true,"",29.400,10.2444,8.9000,0.1091,12201.735,0.3433,984.9
"256x256 u16 none rps32","256x256 u16 none rps32 / 10 frames",u16,none,false,8,false,256,256,10,fast-tiff,true,"",56.200,32.4667,30.0000,0.3372,3850.103,1.0879,984.9
"256x256 u16 none rps32","256x256 u16 none rps32 / 10 frames",u16,none,false,8,false,256,256,10,fast-tiff-preload,true,"",50.400,108.5000,108.5000,1.0850,1152.074,3.6355,984.9
"256x256 u16 none rps32","256x256 u16 none rps32 / 10 frames",u16,none,false,8,false,256,256,10,tiff-rs,true,"",124.200,84.6778,22.8000,0.8683,1476.184,2.8373,984.9
"256x256 u16 none rps32","256x256 u16 none rps32 / 10 frames",u16,none,false,8,false,256,256,10,tinytiff,true,"",93.000,29.8444,19.6000,0.3004,4188.384,1.0000,984.9
"256x256 u16 none rps32","256x256 u16 none rps32 / 10 frames",u16,none,false,8,false,256,256,10,libtiff,true,"",64.800,37.2000,25.0000,0.3779,3360.215,1.2465,984.9
"256x256 u16 none rps32","256x256 u16 none rps32 / 100 frames",u16,none,false,8,false,256,256,100,raw,true,"",46.500,17.7544,11.4000,1.9907,7040.491,0.4821,1583.5
"256x256 u16 none rps32","256x256 u16 none rps32 / 100 frames",u16,none,false,8,false,256,256,100,fast-tiff,true,"",121.400,36.8278,33.8000,3.7746,3394.177,1.0000,1583.5
"256x256 u16 none rps32","256x256 u16 none rps32 / 100 frames",u16,none,false,8,false,256,256,100,fast-tiff-preload,true,"",93.000,78.7510,78.7510,7.8751,1587.281,2.1384,1583.5
"256x256 u16 none rps32","256x256 u16 none rps32 / 100 frames",u16,none,false,8,false,256,256,100,tiff-rs,true,"",165.700,105.9367,27.5000,10.8041,1179.950,2.8765,1583.5
"256x256 u16 none rps32","256x256 u16 none rps32 / 100 frames",u16,none,false,8,false,256,256,100,tinytiff,true,"",107.100,45.1711,24.5000,4.7384,2767.255,1.2266,1583.5
"256x256 u16 none rps32","256x256 u16 none rps32 / 100 frames",u16,none,false,8,false,256,256,100,libtiff,true,"",100.200,49.2222,34.3000,5.0026,2539.503,1.3366,1583.5
"256x256 u16 none rps32","256x256 u16 none rps32 / 1000 frames",u16,none,false,8,false,256,256,1000,raw,true,"",33.500,16.7037,8.8000,18.7273,7483.387,0.4666,1610.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 1000 frames",u16,none,false,8,false,256,256,1000,fast-tiff,true,"",423.800,35.7992,33.5000,36.7048,3491.696,1.0000,1610.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 1000 frames",u16,none,false,8,false,256,256,1000,fast-tiff-preload,true,"",415.800,115.3001,115.3001,115.3001,1084.127,3.2207,1610.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 1000 frames",u16,none,false,8,false,256,256,1000,tiff-rs,true,"",175.400,105.6246,35.1000,108.4642,1183.437,2.9505,1610.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 1000 frames",u16,none,false,8,false,256,256,1000,tinytiff,true,"",136.500,45.5581,31.8000,48.2557,2743.749,1.2726,1610.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 1000 frames",u16,none,false,8,false,256,256,1000,libtiff,true,"",129.400,49.8910,33.2000,51.6201,2505.462,1.3936,1610.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 10000 frames",u16,none,false,8,false,256,256,10000,raw,true,"",36.400,18.3692,9.2000,208.3220,6804.869,0.4996,1599.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 10000 frames",u16,none,false,8,false,256,256,10000,fast-tiff,true,"",3616.300,36.7709,34.8000,376.1816,3399.431,1.0000,1599.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 10000 frames",u16,none,false,8,false,256,256,10000,fast-tiff-preload,true,"",3613.800,131.9648,131.9648,1319.6480,947.222,3.5888,1599.1
